Time;Print this
466.000000;pslb
505.000000;psle
1060.000000;psdb
1075.000000;psde
1169.000000;psdb1
1185.000000;psde1
1647.000000;ap4b
1666.000000;ap4e
2913.000000;ap2
2929.000000;ap2e
3164.000000;scb
3177.000000;sce
3489.000000;fb
3503.000000;fe
