Time;IBI;HR;LVET;HRS;Sys;Dia;MAP;SV;CO;SVR;SVI;CI;SVRI;dP/dt;COCalibr
16.525000;1,255;48;0,360;19;110;72;84;83;4,0;1680;42;2,0;3350;516;-1,000
17.780000;1,140;53;0,345;19;108;69;84;90;4,7;1425;45;2,3;2840;523;-1,000
18.920000;1,115;54;0,360;19;115;72;89;82;4,4;1613;41;2,2;3210;483;-1,000
20.035000;1,035;58;0,360;19;121;77;95;86;5,0;1530;43;2,5;3045;522;-1,000
21.070000;1,100;55;0,360;19;119;78;93;77;4,2;1773;38;2,1;3530;461;-1,000
22.170000;0,880;68;0,350;19;118;76;96;81;5,5;1385;40;2,8;2760;483;-1,000
23.050000;1,205;50;0,350;19;119;83;92;65;3,2;2283;32;1,6;4545;436;-1,000
24.255000;1,065;56;0,360;19;124;78;97;83;4,7;1668;41;2,3;3320;534;-1,000
25.320000;1,010;59;0,370;18;128;84;101;80;4,7;1703;40;2,4;3390;506;-1,000
26.330000;0,990;61;0,370;18;129;85;101;80;4,7;1703;40;2,4;3390;506;-1,000
27.320000;1,020;59;0,370;18;129;85;101;80;4,7;1703;40;2,4;3390;506;-1,000
28.340000;1,140;53;0,370;18;129;85;101;80;4,7;1703;40;2,4;3390;506;-1,000
29.480000;1,030;58;0,370;18;129;85;101;80;4,7;1703;40;2,4;3390;506;-1,000
30.510000;0,995;60;0,355;18;133;85;100;80;4,8;1660;40;2,4;3310;581;-1,000
31.505000;0,990;61;0,340;18;127;85;98;72;4,3;1800;36;2,2;3585;517;-1,000
32.495000;1,155;52;0,350;18;126;84;96;72;3,7;2055;36;1,9;4095;517;-1,000
33.650000;0,960;63;0,360;18;127;82;96;84;5,2;1475;42;2,6;2940;542;-1,000
34.610000;1,050;57;0,360;18;122;83;94;73;4,2;1795;37;2,1;3575;478;-1,000
35.660000;1,150;52;0,355;18;122;81;93;74;3,9;1913;37;1,9;3810;491;-1,000
36.810000;1,055;57;0,350;18;120;80;92;72;4,1;1790;36;2,0;3570;483;-1,000
37.865000;0,975;62;0,360;18;118;81;94;74;4,5;1658;37;2,3;3300;422;-1,000
38.840000;0,930;65;0,370;18;125;85;98;77;4,9;1580;38;2,5;3145;489;-1,000
39.770000;0,840;71;0,370;17;125;85;98;77;4,9;1580;38;2,5;3145;489;-1,000
40.610000;0,855;70;0,370;18;125;85;98;77;4,9;1580;38;2,5;3145;489;-1,000
41.465000;0,915;66;0,370;18;125;85;98;77;4,9;1580;38;2,5;3145;489;-1,000
42.380000;0,840;71;0,370;18;125;85;98;77;4,9;1580;38;2,5;3145;489;-1,000
43.220000;0,835;72;0,370;17;125;85;98;77;4,9;1580;38;2,5;3145;489;-1,000
44.055000;0,820;73;0,355;17;133;88;103;78;5,7;1435;39;2,8;2860;569;-1,000
44.875000;0,850;71;0,350;17;126;89;101;67;4,7;1713;33;2,3;3410;456;-1,000
45.725000;0,975;62;0,355;17;124;88;96;64;3,9;1943;32;2,0;3870;450;-1,000
46.700000;0,800;75;0,340;17;118;83;93;67;5,1;1470;34;2,5;2925;406;-1,000
47.500000;0,960;63;0,355;17;112;82;90;61;3,8;1868;31;1,9;3720;355;-1,000
48.460000;0,805;75;0,355;17;112;79;90;68;5,1;1423;34;2,5;2835;398;-1,000
49.265000;0,950;63;0,350;17;112;81;88;63;3,9;1773;31;2,0;3535;389;-1,000
50.215000;0,995;60;0,345;17;108;78;86;62;3,7;1825;31;1,9;3635;364;-1,000
51.210000;1,015;59;0,355;17;104;76;85;61;3,6;1875;31;1,8;3735;330;-1,000
52.225000;1,000;60;0,355;17;103;76;85;61;3,6;1875;31;1,8;3735;330;-1,000
53.225000;0,965;62;0,355;17;103;76;85;61;3,6;1875;31;1,8;3735;330;-1,000
54.190000;1,035;58;0,355;17;103;76;85;61;3,6;1875;31;1,8;3735;330;-1,000
55.225000;1,080;56;0,355;17;103;76;85;61;3,6;1875;31;1,8;3735;330;-1,000
56.305000;0,885;68;0,355;17;103;76;85;61;3,6;1875;31;1,8;3735;330;-1,000
57.190000;0,895;67;0,355;17;134;86;102;81;5,4;1500;41;2,7;2990;661;-1,000
58.085000;0,950;63;0,355;17;135;86;102;79;5,0;1638;39;2,5;3265;655;-1,000
59.035000;0,915;66;0,355;17;136;87;103;79;5,2;1598;39;2,6;3185;672;-1,000
59.950000;1,060;57;0,345;17;137;88;102;73;4,1;1988;36;2,0;3960;716;-1,000
61.010000;1,085;55;0,360;17;138;87;103;78;4,3;1895;39;2,2;3775;645;-1,000
62.095000;1,065;56;0,355;17;138;87;102;79;4,4;1840;39;2,2;3665;648;-1,000
63.160000;1,020;59;0,350;17;137;87;102;79;4,7;1740;40;2,3;3465;628;-1,000
64.180000;0,910;66;0,345;17;139;87;104;80;5,3;1573;40;2,6;3130;695;-1,000
65.090000;0,920;65;0,335;17;138;88;103;76;4,9;1670;38;2,5;3330;675;-1,000
66.010000;0,950;63;0,335;17;136;86;103;76;4,9;1670;38;2,5;3330;675;-1,000
66.960000;1,095;55;0,335;17;136;86;103;76;4,9;1670;38;2,5;3330;675;-1,000
68.055000;0,980;61;0,335;17;136;86;103;76;4,9;1670;38;2,5;3330;675;-1,000
69.035000;0,845;71;0,345;17;141;87;106;85;6,0;1400;43;3,0;2790;747;-1,000
69.880000;0,765;78;0,360;17;141;90;109;82;6,4;1350;41;3,2;2690;719;-1,000
70.645000;0,910;66;0,340;17;142;92;105;71;4,6;1810;35;2,3;3605;706;-1,000
71.555000;1,045;57;0,350;17;143;88;103;77;4,4;1863;39;2,2;3710;777;-1,000
72.600000;1,210;50;0,360;17;142;86;99;83;4,1;1933;42;2,0;3850;794;-1,000
73.810000;0,975;62;0,355;17;137;80;99;92;5,7;1385;46;2,8;2760;770;-1,000
74.785000;0,840;71;0,350;18;133;83;100;86;6,1;1300;43;3,1;2590;661;-1,000
75.625000;0,870;69;0,355;18;132;85;100;79;5,4;1470;39;2,7;2925;620;-1,000
76.495000;0,945;63;0,355;17;135;85;101;82;5,2;1560;41;2,6;3105;669;-1,000
77.440000;0,935;64;0,355;17;132;85;101;82;5,2;1560;41;2,6;3105;669;-1,000
78.375000;0,920;65;0,355;17;132;85;101;82;5,2;1560;41;2,6;3105;669;-1,000
79.295000;0,920;65;0,355;17;132;85;101;82;5,2;1560;41;2,6;3105;669;-1,000
80.215000;1,155;52;0,355;17;132;85;101;82;5,2;1560;41;2,6;3105;669;-1,000
81.370000;1,070;56;0,355;17;141;84;102;84;4,7;1738;42;2,3;3460;805;-1,000
82.440000;1,020;59;0,350;18;137;84;100;83;4,9;1638;42;2,4;3265;694;-1,000
83.460000;1,015;59;0,350;17;134;84;99;81;4,8;1655;41;2,4;3295;623;-1,000
84.475000;1,035;58;0,360;17;134;84;99;82;4,7;1668;41;2,4;3320;634;-1,000
85.510000;1,010;59;0,355;18;132;83;98;83;4,9;1598;41;2,5;3185;627;-1,000
86.520000;0,910;66;0,350;17;129;83;98;79;5,2;1520;39;2,6;3030;591;-1,000
87.430000;0,990;61;0,355;17;129;84;98;76;4,6;1705;38;2,3;3395;597;-1,000
88.420000;1,055;57;0,350;18;132;84;98;78;4,4;1763;39;2,2;3515;622;-1,000
89.475000;1,065;56;0,355;18;132;84;98;80;4,5;1755;40;2,2;3495;608;-1,000
90.540000;0,945;63;0,355;17;131;84;99;81;5,1;1550;40;2,5;3090;616;-1,000
91.485000;1,065;56;0,350;17;130;86;98;72;4,0;1933;36;2,0;3850;595;-1,000
92.550000;1,155;52;0,355;18;129;83;95;78;4,0;1898;39;2,0;3780;586;-1,000
93.705000;0,985;61;0,360;17;126;80;95;83;5,0;1500;42;2,5;2990;555;-1,000
94.690000;0,915;66;0,355;18;124;82;96;76;4,9;1548;38;2,5;3080;528;-1,000
95.605000;0,990;61;0,360;18;127;84;97;73;4,4;1748;37;2,2;3485;555;-1,000
96.595000;1,040;58;0,350;17;128;84;98;72;4,1;1895;36;2,1;3775;553;-1,000
97.635000;0,990;61;0,355;18;127;84;100;73;4,4;1808;37;2,2;3600;536;-1,000
98.625000;0,975;62;0,355;18;129;87;102;71;4,4;1868;36;2,2;3720;531;-1,000
99.600000;1,005;60;0,355;18;131;88;102;70;4,1;1963;35;2,1;3910;538;-1,000
100.605000;0,995;60;0,350;18;130;87;102;72;4,3;1895;36;2,2;3775;544;-1,000
101.600000;0,955;63;0,350;18;130;87;103;71;4,5;1840;36;2,2;3665;547;-1,000
102.555000;1,055;57;0,345;18;129;88;101;66;3,8;2148;33;1,9;4275;519;-1,000
103.610000;1,015;59;0,345;18;128;85;100;73;4,3;1863;36;2,1;3710;525;-1,000
104.625000;0,940;64;0,345;18;128;85;101;73;4,7;1725;37;2,3;3440;528;-1,000
105.565000;0,930;65;0,345;18;129;87;101;69;4,4;1818;35;2,2;3620;523;-1,000
106.495000;0,970;62;0,345;18;130;87;101;70;4,3;1885;35;2,1;3755;545;-1,000
107.465000;0,935;64;0,350;18;131;87;102;73;4,6;1755;36;2,3;3495;555;-1,000
108.400000;0,980;61;0,345;18;132;89;102;69;4,2;1940;35;2,1;3865;563;-1,000
109.380000;0,940;64;0,350;18;132;87;103;73;4,7;1758;37;2,3;3500;575;-1,000
110.320000;0,995;60;0,345;18;132;89;102;69;4,1;1973;34;2,1;3930;573;-1,000
111.315000;0,955;63;0,345;18;132;87;102;75;4,7;1725;38;2,3;3435;591;-1,000
112.270000;0,975;62;0,345;18;130;87;101;70;4,3;1868;35;2,2;3720;555;-1,000
113.245000;0,930;65;0,350;18;132;86;101;76;4,9;1643;38;2,5;3275;592;-1,000
114.175000;0,950;63;0,350;18;132;87;100;72;4,6;1760;36;2,3;3505;600;-1,000
115.125000;0,960;63;0,350;18;130;85;99;76;4,7;1670;38;2,4;3330;591;-1,000
116.085000;0,925;65;0,345;17;128;84;98;73;4,8;1640;37;2,4;3265;563;-1,000
117.010000;0,830;72;0,340;17;126;83;97;74;5,3;1463;37;2,7;2910;567;-1,000
117.840000;1,330;45;0,335;18;128;85;90;65;2,9;2450;33;1,5;4880;578;-1,000
119.170000;1,235;49;0,340;17;115;71;85;84;4,1;1658;42;2,0;3305;516;-1,000
120.405000;1,170;51;0,340;17;113;71;84;81;4,2;1613;41;2,1;3215;466;-1,000
121.575000;1,010;59;0,350;17;113;72;87;84;5,0;1395;42;2,5;2775;469;-1,000
122.585000;0,850;71;0,350;17;117;77;92;77;5,4;1350;39;2,7;2690;500;-1,000
123.435000;1,130;53;0,350;17;122;82;94;70;3,7;2030;35;1,8;4045;530;-1,000
124.565000;1,095;55;0,360;18;128;80;96;80;4,4;1763;40;2,2;3515;613;-1,000
125.660000;1,105;54;0,360;17;130;83;98;77;4,2;1883;38;2,1;3750;608;-1,000
126.765000;0,975;62;0,365;17;129;84;100;82;5,1;1568;41;2,5;3120;606;-1,000
127.740000;0,970;62;0,365;17;132;87;102;78;4,8;1700;39;2,4;3390;602;-1,000
128.710000;1,445;42;0,345;17;133;88;95;67;2,8;2728;34;1,4;5435;616;-1,000
130.155000;1,310;46;0,355;17;124;76;91;85;3,9;1873;42;1,9;3730;575;-1,000
131.465000;1,180;51;0,360;17;120;75;89;85;4,3;1645;43;2,2;3280;527;-1,000
132.645000;1,105;54;0,355;17;122;76;90;87;4,7;1530;43;2,3;3045;572;-1,000
133.750000;1,110;54;0,370;17;122;78;92;80;4,3;1688;40;2,2;3365;547;-1,000
134.860000;1,015;59;0,365;17;124;79;95;81;4,8;1580;41;2,4;3150;573;-1,000
135.875000;1,125;53;0,360;17;128;83;97;75;4,0;1938;38;2,0;3860;583;-1,000
137.000000;1,130;53;0,365;17;129;82;98;80;4,2;1845;40;2,1;3675;595;-1,000
138.130000;1,055;57;0,355;17;129;82;99;80;4,5;1733;40;2,3;3450;603;-1,000
139.185000;1,050;57;0,360;18;130;85;100;76;4,3;1840;38;2,2;3665;594;-1,000
140.235000;1,055;57;0,360;17;130;85;100;77;4,4;1820;39;2,2;3625;597;-1,000
141.290000;1,060;57;0,360;17;131;84;100;78;4,4;1820;39;2,2;3625;597;-1,000
142.350000;1,095;55;0,360;17;131;84;99;77;4,2;1878;39;2,1;3740;580;-1,000
143.445000;1,075;56;0,355;17;129;82;98;79;4,4;1770;40;2,2;3530;589;-1,000
144.520000;1,055;57;0,355;18;128;82;97;79;4,5;1725;40;2,2;3440;573;-1,000
145.575000;0,960;63;0,355;18;126;81;97;78;4,9;1585;39;2,4;3155;553;-1,000
146.535000;1,040;58;0,355;18;128;84;98;73;4,2;1850;37;2,1;3685;534;-1,000
147.575000;1,035;58;0,355;18;128;82;98;76;4,4;1783;38;2,2;3555;550;-1,000
148.610000;1,020;59;0,355;18;130;83;99;78;4,6;1725;39;2,3;3440;569;-1,000
149.630000;0,990;61;0,350;18;130;84;99;77;4,6;1695;38;2,3;3375;583;-1,000
150.620000;1,060;57;0,355;18;131;85;98;77;4,3;1808;38;2,2;3600;584;-1,000
151.680000;1,090;55;0,360;18;129;82;96;80;4,4;1743;40;2,2;3475;584;-1,000
152.770000;1,100;55;0,355;18;127;80;94;81;4,4;1708;41;2,2;3400;566;-1,000
